,date,hubei,shanghai,beijing,sichuan,guangdong,yunnan,taipei_and_environs,tianjin,shandong,henan,zhejiang,chongqing,hong_kong_sar,heilongjiang,ningxia,anhui,shanxi,guangxi,jiangsu,jiangxi,hebei,hainan,hunan,macao_sar,fujian,guizhou,liaoning,inner_mongolia,jilin,xinjiang,gansu,shaanxi,qinghai,xizang
1,111,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,113,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,114,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,115,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,116,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,117,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,118,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,119,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,120,281,1,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,121,383,6,10,1,17,1,1,2,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,122,631,9,14,5,26,1,1,4,2,5,10,6,0,0,1,1,1,2,0,2,1,4,4,1,1,1,2,0,0,0,0,0,0,0
13,123,631,16,22,8,32,1,1,4,6,5,27,9,2,2,1,9,1,5,5,3,1,4,9,2,5,3,3,0,1,2,2,3,0,0
14,124,780,20,36,15,53,5,3,8,15,9,43,27,5,4,2,15,1,23,9,18,2,8,24,2,10,4,4,1,3,2,2,5,0,0
15,125,1079,33,39,28,78,11,3,10,27,31,62,57,5,9,3,39,6,23,18,18,8,19,43,2,18,5,16,7,4,3,4,15,1,0
16,126,1494,40,67,44,98,11,4,10,46,83,104,75,6,15,4,60,9,33,33,36,13,22,69,5,35,5,21,7,4,4,7,22,4,0
17,127,2021,53,80,69,151,26,5,22,75,128,128,110,8,21,7,70,13,46,47,48,18,33,100,6,59,7,27,11,6,5,14,35,6,0
18,128,3855,66,91,90,188,44,8,24,95,168,173,132,8,33,11,106,20,51,70,72,33,40,143,7,80,9,34,15,8,10,19,46,6,0
19,129,5048,96,111,108,241,55,8,27,130,206,296,147,10,39,12,152,27,58,99,109,48,43,221,7,84,9,39,16,9,13,24,56,6,0
20,130,6514,112,114,141,311,70,9,27,158,278,428,182,10,43,17,200,35,78,129,162,65,46,277,7,101,12,41,18,14,14,26,63,8,1
21,131,8246,135,139,176,412,80,10,32,184,352,537,211,12,59,21,237,39,87,168,239,82,52,332,7,120,15,60,20,14,17,29,87,8,1
22,201,10159,169,168,207,520,93,10,41,206,422,599,247,13,80,26,302,47,100,202,285,96,57,389,7,144,29,64,23,17,18,40,101,9,1
23,202,12888,182,188,231,604,105,10,41,230,493,661,275,14,95,28,340,56,111,236,332,104,63,463,8,159,38,70,27,23,21,40,116,9,1
24,203,15875,203,212,254,725,114,10,60,259,566,724,312,15,121,31,408,66,127,271,391,113,72,521,8,179,46,74,34,31,24,55,128,13,1
25,204,19205,219,228,282,797,119,11,67,275,675,829,344,17,155,34,480,74,139,308,476,126,79,593,10,194,58,81,35,42,29,57,142,15,1
26,205,23688,243,253,301,870,124,11,69,307,764,895,376,21,190,34,530,81,150,341,548,135,99,661,10,205,64,89,42,54,32,62,165,17,1
27,206,27930,254,274,321,944,128,11,70,343,851,954,389,21,227,40,591,90,168,373,600,157,100,711,10,215,69,89,46,59,36,62,173,18,1
28,207,31406,269,297,344,1018,135,16,79,379,914,1006,411,24,277,43,665,96,172,408,661,171,111,772,10,224,77,94,49,65,39,70,184,18,1
29,208,35441,281,315,363,1075,138,16,81,407,981,1048,426,26,282,45,733,104,183,439,698,195,123,803,10,239,89,99,50,69,42,71,195,18,1
30,209,38490,292,326,386,1120,140,17,88,435,1033,1075,446,26,307,45,779,115,195,468,740,206,128,838,10,250,96,105,54,78,45,81,208,18,1
31,210,42085,295,337,405,1151,141,18,91,459,1073,1104,468,36,331,49,830,119,210,492,771,218,136,879,10,261,109,107,58,80,49,85,213,18,1
32,211,45063,302,342,417,1177,149,18,96,486,1105,1117,486,42,360,53,860,122,215,515,804,239,142,912,10,267,118,108,58,81,55,86,219,18,1
33,212,47390,306,352,436,1219,154,18,106,497,1135,1131,505,49,378,58,889,124,222,543,844,251,145,946,10,272,131,111,60,83,59,86,225,18,1
34,213,49532,313,366,451,1241,155,18,112,506,1169,1145,518,50,395,64,910,126,222,570,872,265,157,968,10,279,135,116,61,84,63,87,229,18,1
35,214,51986,318,372,463,1261,162,18,119,519,1184,1155,529,53,418,67,934,126,226,593,900,283,157,988,10,281,140,117,63,86,65,90,230,18,1
36,215,54406,326,375,470,1294,168,18,120,530,1212,1162,537,56,425,70,950,127,235,604,913,291,162,1001,10,285,143,119,68,88,70,90,232,18,1
37,216,56249,328,380,481,1316,169,18,122,537,1231,1167,544,56,445,70,962,128,237,617,925,300,162,1004,10,287,144,120,70,89,71,90,236,18,1
38,217,58182,331,381,495,1322,171,20,124,541,1246,1171,551,57,457,70,973,129,238,626,930,301,162,1006,10,290,146,121,72,89,73,91,240,18,1
39,218,59989,333,387,508,1328,172,22,125,543,1257,1172,553,60,464,70,982,130,242,629,933,302,163,1007,10,292,146,121,73,89,76,91,240,18,1
40,219,61682,333,393,514,1331,173,23,128,544,1262,1173,555,62,470,71,986,131,244,631,934,306,163,1008,10,293,146,121,75,90,76,91,242,18,1
41,220,62031,333,395,520,1332,172,24,130,546,1265,1175,560,65,476,71,987,131,245,631,934,307,168,1010,10,293,146,121,75,91,76,91,245,18,1
42,221,62662,334,396,525,1333,174,26,131,748,1267,1203,567,68,479,71,988,132,246,631,934,308,168,1011,10,293,146,121,75,91,76,91,245,18,1
43,222,63454,334,399,526,1339,174,26,133,750,1270,1205,572,68,479,71,989,132,249,631,934,309,168,1013,10,293,146,121,75,91,76,91,245,18,1
44,223,64084,335,399,526,1342,174,26,135,754,1271,1205,573,70,480,71,989,132,249,631,934,311,168,1016,10,293,146,121,75,91,76,91,245,18,1
45,224,64287,335,399,527,1345,174,28,135,755,1271,1205,575,74,480,71,989,132,251,631,934,311,168,1016,10,293,146,121,75,93,76,91,245,18,1
46,225,64786,335,400,529,1347,174,31,135,755,1271,1205,576,81,480,71,989,133,252,631,934,311,168,1016,10,294,146,121,75,93,76,91,245,18,1
47,226,65187,336,400,531,1347,174,32,135,756,1271,1205,576,85,480,71,989,133,252,631,934,312,168,1016,10,294,146,121,75,93,76,91,245,18,1
48,227,65596,337,410,534,1347,174,32,135,756,1272,1205,576,91,480,72,989,133,252,631,934,317,168,1017,10,296,146,121,75,93,76,91,245,18,1
49,228,65914,337,410,538,1348,174,34,136,756,1272,1205,576,93,480,72,990,133,252,631,935,318,168,1017,10,296,146,121,75,93,76,91,245,18,1
50,229,66337,337,411,538,1349,174,39,136,756,1272,1205,576,94,480,73,990,133,252,631,935,318,168,1018,10,296,146,121,75,93,76,91,245,18,1
51,301,66907,337,413,538,1349,174,39,136,756,1272,1205,576,95,480,73,990,133,252,631,935,318,168,1018,10,296,146,122,75,93,76,91,245,18,1
52,302,67103,337,414,538,1350,174,40,136,758,1272,1206,576,98,480,74,990,133,252,631,935,318,168,1018,10,296,146,122,75,93,76,91,245,18,1
53,303,67217,338,414,538,1350,174,42,136,758,1272,1213,576,101,480,74,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,91,245,18,1
54,304,67332,338,417,538,1350,174,42,136,758,1272,1213,576,100,480,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,91,245,18,1
55,305,67466,338,418,539,1350,174,42,136,758,1272,1215,576,104,481,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,91,245,18,1
56,306,67592,339,422,539,1351,174,45,136,758,1272,1215,576,104,481,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,102,245,18,1
57,307,67666,342,426,539,1352,174,45,136,758,1272,1215,576,107,481,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,119,245,18,1
58,308,67707,342,428,539,1352,174,45,136,758,1272,1215,576,109,481,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,120,245,18,1
59,309,67743,342,428,539,1352,174,45,136,758,1272,1215,576,114,481,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,124,245,18,1
60,310,67760,342,429,539,1353,174,45,136,758,1272,1215,576,115,481,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,124,245,18,1
61,311,67773,344,435,539,1353,174,47,136,759,1272,1215,576,120,482,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,125,245,18,1
62,312,67781,344,435,539,1356,174,49,136,760,1273,1215,576,129,482,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,127,245,18,1
63,313,67786,346,436,539,1356,174,49,136,760,1273,1215,576,131,482,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,127,245,18,1
64,314,67790,350,437,539,1356,174,50,136,760,1273,1227,576,137,482,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,129,245,18,1
65,315,67794,353,442,539,1357,174,53,136,760,1273,1231,576,141,482,75,990,133,252,631,935,318,168,1018,10,296,146,125,75,93,76,132,245,18,1
